Country,Year,MonthCode,Month,Name of distribution company,Name of major city,Additional Info,Number of EV Charging Stations excluding Heavy Duty Vehicles charging stations (including EV charging points) (UOM:Number) |Scaling Factor:1,Number of PCS specific to Heavy Duty Vehicles (E-bus etc.) (UOM:Number) |Scaling Factor:1,Electricity consumed in Electric Vehicle (EV) charging stations excluding heavy duty vehicles Public Charging Station (PCS) (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Electricity consumed in heavy duty Public Charging Station (PCS) only (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Total electricity consumed of Electric Vehicle (EV) charging stations (UOM:MU(Megaunit)) |Scaling Factor:1
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendrav aram, West Godavari, Srikakulam, Vizianagaram etc.",,70,0,22216,0,0.022
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendra varam, West Godavari, Srikakulam, Vizianagaram etc.",,70,0,22216,0,0.022
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","APDCL, Assam","Badarpur, Karimganj,kokr ajhar, Nagaon, Silchar, Guwahati, Tezpur",,101,10,219564,19433,0.239
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","APDCL, Assam","Badarpur, Karimganj,kok rajhar, Nagaon, Silchar, Guwahati, Tezpur",,101,10,219564,19433,0.239
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APDCL, Assam","Badarpur, Karimganj, kokrajhar, Nagaon, Silchar, Guwahati, Tezpur",,99,9,221296,19714,0.241
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",UT Chandigarh,Chandigarh,,21,6,26836,606530,0.633
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","UHBVN, Haryana","Panchkula, Karnal, Kaithal, Sonipat, Ambala, Kurukshetra",,15,0,15344,0,0.015
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","UGVCL, Guj.","Surat City, Navsari, Vapi- Town, Haldarva, Bharuch East, Kavadiya Colony",,52,12,35136,1497936,1.533
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","UGVCL, Guj.","Hebatpur, Bavla (Ramnagar), FEDRA, Dholasan, Asal, Modasa, Majadar, Nugar, Rangpur",,27,0,14916,0,0.015
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","UGVCL, Guj.","Hebatpur, Bavla (Ramnagar), FEDRA, Dholasan, Asal, Modasa, Majadar, Nugar,",,27,0,14916,0,0.015
