Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2023-24,2023,1,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",121,4,51729,28555,0.08
India,2023-24,2023,1,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",25,0,4140,0,0.004
India,2023-24,2023,1,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",53,0,11906,0,0.012
India,2023-24,2023,1,NBPDCL,BIHAR,patna,78,0,6000,0,0.006
India,2022-23,2022,7,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",3,1,1677,131220,0.133
India,2022-23,2022,7,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),11,10,25843,1352927,1.379
India,2022-23,2022,7,Torrent Power,GUJ,ahemdabad,8,5,17373,1446808,1.464
India,2022-23,2022,7,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",48,4,21098,607724,0.629
India,2022-23,2022,7,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",9,0,168,0,0
India,2022-23,2022,7,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",11,2,23291,20598,0.044
